File Name,RoundingHeurLevel-0,RootCutLevel-1,StrongBranching-1,StrongBranching-0,RoundingHeurLevel-1,RootCutLevel-0,TreeCutLevel-0,DivingHeurLevel-1,TreeCutLevel-1,SubMipHeurLevel-1,SubMipHeurLevel-0,MipLogLevel-2,DivingHeurLevel-0
load_balancing_541,1097.49,895.43,808.87,776.84,1088.5,3600.02,1379.16,929.51,2289.26,1237.47,1080.74,923.34,908.96
load_balancing_542,1558.71,1023.47,1070.94,871.92,1629.1,3600.05,1588.35,1165.64,1501.82,1297.96,1042.65,1165.78,1160.48
load_balancing_543,3600.03,3600.04,3600.02,3044.74,3600.03,3600.04,3600.03,3129.71,3600.02,3600.02,3600.04,3600.04,3600.02
load_balancing_544,1228.28,852.53,1023.82,915.46,1114.39,3600.02,1139.74,973.92,1267.19,1040.41,911.84,1183.18,985.11
load_balancing_545,3600.02,3507.16,3600.03,3268.79,3356.13,3600.03,3600.04,2604.9,3600.02,3600.04,3247.3,3600.04,2914.41
load_balancing_546,598.17,666.66,478.58,524.68,614.02,3600.02,623.27,538.9,776.03,453.62,511.41,537.43,571.88
load_balancing_547,1152.63,584.54,440.31,423.22,414.71,3600.02,568.86,747.73,756.03,413.43,401.29,507.84,523.41
load_balancing_549,3600.03,3343.7,3245.74,2527.51,3209.43,3600.05,3333.8,3426.66,3116.79,3492.44,2803.26,3368.55,3248.3
load_balancing_55,1378.01,1485.43,1089.26,1075.47,1043.89,3600.02,1309.58,1290.44,2666.49,1051.95,1275.29,1441.51,1293.59
load_balancing_551,3600.02,2180.92,3345.57,2292.64,3547.22,3600.02,3196.35,2938.18,3600.04,2959.1,3248.59,3215.64,3334.34
load_balancing_554,1640.84,1033.91,943.65,1157.89,1110.04,3600.02,1446.55,999.15,2536.23,1141.31,1159.6,998.52,990.39
load_balancing_555,778.6,535.21,561.05,501.95,397.98,3600.05,583.53,593.69,551.49,353.33,553.14,516.88,513.55
load_balancing_556,494.35,228.77,239.15,204.93,232.09,3600.04,209.9,245.98,235.21,215.7,179.35,232.21,231.85
load_balancing_557,3600.02,1701.79,3600.02,3600.02,3600.02,3600.04,3600.01,497.19,693.08,3600.02,3600.04,485.6,488.94
load_balancing_558,3600.02,327.18,336.93,392.18,399.44,3600.02,491.8,352.8,355.33,346.88,340.12,351.34,367.31
load_balancing_559,2406.2,174.0,173.57,326.81,217.02,3600.05,183.43,233.55,159.08,153.87,187.82,183.18,241.42
load_balancing_56,1356.11,1134.96,1196.28,1230.95,1270.12,3600.02,1500.24,1393.3,2635.19,1182.02,1525.86,1343.04,1353.34
load_balancing_561,3600.01,2204.16,2151.52,1778.55,2210.74,3600.06,3600.03,2285.09,3600.02,2220.89,2446.37,2233.57,2194.59
load_balancing_562,3600.01,3504.02,3600.03,3600.05,3600.02,3600.05,3600.02,3600.03,3600.03,3600.03,3600.03,3600.02,3600.04
load_balancing_564,1527.14,1049.06,784.12,740.38,746.08,3600.05,765.9,781.98,878.53,728.27,622.94,801.35,779.62
load_balancing_565,3600.02,3425.49,3600.02,3554.61,3600.04,3600.03,3600.05,3600.05,3600.04,3600.03,3600.03,3124.57,3600.03
load_balancing_566,1136.89,877.8,988.9,846.45,1089.26,3600.03,1173.42,1020.7,1462.92,886.86,1152.12,1024.3,1037.57
load_balancing_567,1153.28,1082.79,837.88,673.03,897.93,3600.02,827.39,778.84,823.89,881.72,677.52,681.62,745.06
load_balancing_568,3600.03,570.79,564.28,493.37,614.99,3600.04,590.06,531.83,737.05,573.71,506.66,542.93,547.61
load_balancing_569,3600.02,2839.43,1392.97,1167.48,749.38,3600.02,1941.59,1146.38,2014.25,1677.19,1473.37,1631.11,1132.73
load_balancing_57,3600.04,2705.02,2520.48,3600.03,3600.03,3600.05,3600.02,1615.0,2030.56,1568.29,2065.06,2509.46,1554.97
load_balancing_570,3600.01,693.4,865.3,545.24,761.95,3600.05,1239.16,839.54,793.44,582.65,935.75,827.59,945.76
load_balancing_571,3243.03,834.98,668.88,833.88,803.22,3600.02,842.73,715.07,1138.27,648.17,649.33,655.9,1175.02
load_balancing_572,2931.31,582.19,679.09,632.03,847.02,3600.05,856.13,803.48,836.82,704.38,859.34,797.88,815.31
load_balancing_574,409.09,484.18,440.5,414.76,345.28,3600.05,598.02,510.35,473.12,304.47,290.88,457.14,488.69
load_balancing_575,3600.02,1896.58,1680.84,1670.59,1733.0,3600.03,1679.84,1418.24,3600.04,2224.04,1994.79,1461.91,1511.46
load_balancing_576,522.25,461.54,538.03,644.82,424.08,3600.03,442.13,448.21,854.81,282.85,466.72,444.13,451.66
load_balancing_578,3600.01,1130.12,1040.16,859.48,1176.12,3600.06,1283.55,1200.5,1575.55,1094.59,1059.37,1136.15,1152.67
load_balancing_579,3600.02,3176.51,3340.72,3443.33,3600.03,3600.05,3600.03,3600.03,3600.03,3600.03,3600.03,3600.02,3600.03
load_balancing_58,3600.02,477.74,1291.54,1740.78,512.91,3600.02,770.15,665.78,754.44,556.74,1127.66,715.54,660.73
load_balancing_582,309.44,260.76,173.41,305.01,261.54,3600.02,281.72,187.58,306.71,253.03,211.73,186.71,188.52
load_balancing_585,84.27,146.31,87.66,112.31,84.51,3600.04,74.53,88.88,194.55,132.61,114.53,86.94,91.36
load_balancing_586,207.88,89.25,165.62,158.15,151.08,3600.04,170.83,193.6,213.67,142.04,122.89,177.63,183.8
load_balancing_588,2125.44,1685.57,1597.4,2657.63,3153.37,3600.06,2772.19,1800.45,3115.91,1830.0,1889.68,1782.42,1827.5
load_balancing_589,1344.82,1645.16,1277.5,1235.44,1532.51,3600.02,1990.56,1499.12,1997.18,1264.31,1282.42,1630.73,1372.11
load_balancing_59,1242.04,1422.23,1217.07,1166.69,1037.14,3600.02,1680.38,1259.27,1992.37,1358.18,1097.39,1234.61,1246.19
load_balancing_590,1439.21,2495.67,1124.19,1389.25,1425.94,3600.02,1405.49,1288.68,1947.96,1369.85,1216.42,1266.98,1598.67
load_balancing_591,737.01,763.79,576.62,614.17,701.91,3600.03,849.57,731.13,857.66,617.12,616.17,738.53,719.22
load_balancing_593,824.29,523.25,513.96,515.93,536.73,3600.02,655.76,516.49,607.3,542.66,496.18,510.51,526.7
load_balancing_594,1045.47,908.15,878.33,715.11,946.56,3600.02,984.55,1175.28,1179.19,976.38,859.33,1226.39,1182.1
load_balancing_595,2149.17,558.48,450.21,389.79,531.42,3600.06,297.92,466.36,606.12,436.78,383.65,417.86,420.46
load_balancing_597,3600.02,2205.41,1761.07,1994.17,2361.24,3600.05,3599.15,2242.1,3600.03,2387.33,1966.66,1947.09,2231.93
load_balancing_598,3600.02,726.41,367.78,351.47,396.09,3600.03,274.41,390.34,350.78,346.41,317.06,397.59,429.89
load_balancing_599,2749.49,618.37,417.73,436.29,556.76,3600.05,580.65,2054.55,1001.61,655.94,639.78,737.06,907.31
load_balancing_6,1205.67,871.76,978.76,715.27,935.1,3600.03,1332.14,1054.47,1051.73,862.11,902.05,1029.03,1045.76
load_balancing_60,3600.02,345.32,215.98,226.94,198.87,3600.03,195.19,201.85,185.98,202.66,190.41,219.68,195.18
load_balancing_600,730.5,699.29,768.89,717.3,834.77,3600.03,896.1,853.53,1020.29,698.53,807.46,830.82,845.07
load_balancing_601,506.39,2244.6,472.83,452.12,445.73,3600.02,519.99,638.81,799.37,460.36,411.35,485.97,728.28
load_balancing_602,3600.01,612.74,479.75,612.45,492.99,3600.05,521.21,493.57,568.27,453.59,504.69,467.45,696.71
load_balancing_603,3106.53,1377.16,1289.34,943.43,1351.61,3600.01,1433.23,1199.27,3030.56,1247.62,1221.94,1189.32,1269.39
load_balancing_605,2147.36,3600.04,2153.73,2020.45,2303.68,3600.03,3600.02,2457.99,3600.02,3600.02,2001.89,2744.4,3600.02
load_balancing_606,1805.09,869.42,1130.24,871.17,1070.0,3600.02,1065.52,1354.27,1328.55,1113.93,970.19,1373.38,1425.76
load_balancing_608,2313.31,1709.4,1516.0,1402.69,2434.94,3600.05,1622.35,1492.27,3600.04,1694.19,1692.18,1427.94,1458.18
load_balancing_609,307.18,302.99,251.95,240.02,262.96,3600.02,208.93,269.55,254.81,178.18,258.78,226.3,276.46
load_balancing_611,3600.02,2187.69,2172.2,1725.61,2176.76,3600.02,2568.69,2327.61,3092.83,2340.46,2102.53,2080.39,2256.46
load_balancing_612,3600.01,1433.82,754.06,884.78,639.29,3600.05,991.51,809.36,2239.06,696.84,861.03,703.95,750.65
load_balancing_613,479.27,397.14,373.12,371.26,393.71,3600.04,288.41,415.63,400.34,370.1,418.77,406.08,719.21
load_balancing_614,1697.35,1408.47,1041.21,981.87,882.97,3600.05,1308.58,1275.65,2533.49,897.55,779.55,1277.09,1350.53
load_balancing_615,635.47,301.61,223.74,411.48,324.45,3600.03,245.55,316.13,279.99,244.95,198.57,284.71,313.45
load_balancing_616,1990.79,2740.18,2220.22,2050.86,2338.23,3600.05,3250.28,2230.09,3600.02,2452.31,2728.95,2241.15,2276.62
load_balancing_617,998.78,1065.68,758.68,746.33,941.36,3600.03,848.88,815.79,1025.58,781.91,972.76,921.53,726.52
load_balancing_619,3600.01,801.96,779.08,664.82,937.07,3600.03,1038.81,698.44,1067.19,836.22,566.82,713.2,725.47
load_balancing_62,3278.86,2956.02,2790.35,2881.32,3246.03,3600.05,3600.04,2896.31,3600.02,3125.24,3494.04,3460.67,3600.04
load_balancing_620,2708.09,1933.32,3141.07,3374.72,3319.05,3600.05,3600.03,3306.74,3600.02,2089.18,1841.13,3600.03,3600.02
load_balancing_621,3181.03,615.06,618.75,437.97,405.63,3600.03,537.14,510.67,600.52,351.21,507.96,513.05,510.19
load_balancing_622,2071.56,1047.4,656.16,803.4,750.66,3600.05,874.22,944.11,1919.04,691.23,873.64,803.87,854.95
load_balancing_623,2653.7,3056.6,2988.13,2617.47,3218.47,3600.03,3600.04,2965.73,3600.02,3179.28,2640.37,2990.78,2847.16
load_balancing_625,1130.8,1178.71,1042.15,1066.31,1155.86,3600.03,2139.39,1182.1,2343.79,1076.19,1201.47,1100.11,1158.61
load_balancing_626,312.29,293.24,149.9,1101.38,384.16,3600.03,151.37,548.02,286.9,319.04,174.29,278.76,652.56
