File Name,MipLogLevel-2,SubMipHeurLevel-0,SubMipHeurLevel-1,RootCutLevel-0
test_400r_1600c_0.01d_instance_120,0.13,0.08,0.08,0.16
test_400r_1600c_0.01d_instance_153,0.03,0.03,0.04,0.03
test_400r_1600c_0.01d_instance_158,0.06,0.08,0.08,0.06
test_400r_1600c_0.01d_instance_175,0.04,0.04,0.04,0.04
test_400r_1600c_0.01d_instance_275,0.24,0.1,0.15,0.28
test_400r_1600c_0.01d_instance_300,0.13,0.07,0.16,0.15
test_400r_1600c_0.01d_instance_306,0.14,0.06,0.14,0.14
test_400r_1600c_0.01d_instance_347,0.04,0.04,0.04,0.04
test_400r_1600c_0.01d_instance_36,0.28,0.14,0.15,0.3
test_400r_1600c_0.01d_instance_38,0.04,0.04,0.04,0.04
test_400r_1600c_0.01d_instance_382,0.03,0.03,0.03,0.03
test_400r_1600c_0.01d_instance_42,0.15,0.1,0.15,0.19
test_400r_1600c_0.01d_instance_467,0.13,0.07,0.08,0.15
test_400r_1600c_0.01d_instance_54,0.23,0.1,0.2,0.3
test_400r_1600c_0.01d_instance_79,0.17,0.1,0.11,0.16
test_400r_1600c_0.05d_instance_118,0.8,0.3,0.65,0.56
test_400r_1600c_0.05d_instance_185,1.16,0.63,0.78,0.92
test_400r_1600c_0.05d_instance_219,0.93,0.39,0.82,0.67
test_400r_1600c_0.05d_instance_263,1.19,0.4,0.91,0.88
test_400r_1600c_0.05d_instance_293,0.79,0.31,0.63,0.51
test_400r_1600c_0.05d_instance_367,0.88,0.33,0.57,0.7
test_400r_1600c_0.05d_instance_394,0.85,0.33,0.75,0.62
test_400r_1600c_0.05d_instance_426,0.58,0.27,0.6,0.5
test_400r_1600c_0.05d_instance_436,1.14,0.3,0.59,0.91
test_400r_1600c_0.05d_instance_447,0.64,0.3,0.61,0.72
test_400r_1600c_0.05d_instance_458,0.85,0.31,0.63,0.63
test_400r_1600c_0.05d_instance_475,0.56,0.24,0.62,0.47
test_400r_1600c_0.25d_instance_132,0.25,0.17,0.26,0.26
test_400r_1600c_0.25d_instance_165,0.51,0.36,0.24,0.38
test_400r_1600c_0.25d_instance_204,0.54,0.29,0.47,0.5
test_400r_1600c_0.25d_instance_23,0.49,0.22,0.3,0.33
test_400r_1600c_0.25d_instance_230,0.29,0.18,0.19,0.27
test_400r_1600c_0.25d_instance_245,0.44,0.21,0.41,0.46
test_400r_1600c_0.25d_instance_250,0.4,0.42,0.46,0.47
test_400r_1600c_0.25d_instance_270,0.54,0.3,0.55,0.53
test_400r_1600c_0.25d_instance_305,0.64,0.24,0.46,0.55
test_400r_1600c_0.25d_instance_330,0.56,0.24,0.45,0.48
test_400r_1600c_0.25d_instance_421,0.38,0.22,0.35,0.4
test_400r_1600c_0.25d_instance_434,0.52,0.32,0.54,0.42
test_400r_1600c_0.25d_instance_5,0.48,0.24,0.48,0.42
test_400r_1600c_0.25d_instance_500,0.65,0.25,0.42,0.49
test_400r_1600c_0.25d_instance_68,0.48,0.24,0.39,0.43
test_400r_3200c_0.01d_instance_141,0.17,0.09,0.1,0.21
test_400r_3200c_0.01d_instance_174,0.2,0.09,0.09,0.24
test_400r_3200c_0.01d_instance_19,0.04,0.04,0.03,0.04
test_400r_3200c_0.01d_instance_206,0.17,0.11,0.14,0.15
test_400r_3200c_0.01d_instance_208,0.04,0.04,0.04,0.04
test_400r_3200c_0.01d_instance_228,0.45,0.18,0.26,0.35
test_400r_3200c_0.01d_instance_26,0.18,0.13,0.22,0.19
test_400r_3200c_0.01d_instance_275,0.22,0.19,0.18,0.22
test_400r_3200c_0.01d_instance_31,0.19,0.12,0.2,0.22
test_400r_3200c_0.01d_instance_365,0.14,0.07,0.07,0.15
test_400r_3200c_0.01d_instance_396,0.24,0.09,0.1,0.24
test_400r_3200c_0.01d_instance_457,0.04,0.04,0.04,0.04
test_400r_3200c_0.01d_instance_462,0.03,0.03,0.03,0.03
test_400r_3200c_0.01d_instance_62,0.04,0.03,0.03,0.04
test_400r_3200c_0.01d_instance_84,0.14,0.09,0.16,0.12
test_400r_3200c_0.01d_instance_90,0.39,0.11,0.16,0.32
test_400r_3200c_0.05d_instance_135,0.56,0.27,0.55,0.61
test_400r_3200c_0.05d_instance_136,0.84,0.3,0.62,0.68
test_400r_3200c_0.05d_instance_157,0.61,0.23,0.57,0.47
test_400r_3200c_0.05d_instance_173,0.94,0.4,0.42,0.77
test_400r_3200c_0.05d_instance_255,0.95,0.33,0.91,0.76
test_400r_3200c_0.05d_instance_31,0.48,0.22,0.47,0.31
test_400r_3200c_0.05d_instance_376,0.72,0.26,0.55,0.52
test_400r_3200c_0.05d_instance_386,1.13,0.44,0.95,0.87
test_400r_3200c_0.05d_instance_387,0.9,0.32,0.67,0.55
test_400r_3200c_0.05d_instance_390,0.8,0.33,0.71,0.65
test_400r_3200c_0.05d_instance_40,0.71,0.29,0.71,0.51
test_400r_3200c_0.05d_instance_491,1.1,0.4,0.67,0.84
test_400r_3200c_0.05d_instance_54,0.87,0.3,0.71,0.72
test_400r_3200c_0.05d_instance_87,0.99,0.32,0.74,0.75
test_400r_3200c_0.25d_instance_102,0.31,0.2,0.31,0.3
test_400r_3200c_0.25d_instance_111,0.9,0.43,0.83,0.78
test_400r_3200c_0.25d_instance_157,0.63,0.36,0.58,0.45
test_400r_3200c_0.25d_instance_232,0.78,0.5,0.7,0.64
test_400r_3200c_0.25d_instance_238,0.78,0.34,0.57,0.57
test_400r_3200c_0.25d_instance_25,0.52,0.25,0.46,0.47
test_400r_3200c_0.25d_instance_267,0.84,0.41,0.72,0.76
test_400r_3200c_0.25d_instance_285,0.48,0.3,0.46,0.47
test_400r_3200c_0.25d_instance_294,0.32,0.39,0.24,0.32
test_400r_3200c_0.25d_instance_305,0.31,0.27,0.32,0.28
test_400r_3200c_0.25d_instance_315,0.42,0.21,0.43,0.34
test_400r_3200c_0.25d_instance_349,0.54,0.29,0.46,0.44
test_400r_3200c_0.25d_instance_392,0.48,0.36,0.48,0.39
test_400r_3200c_0.25d_instance_417,0.33,0.27,0.46,0.35
test_400r_3200c_0.25d_instance_420,0.6,0.3,0.48,0.37
test_400r_3200c_0.25d_instance_439,0.45,0.33,0.44,0.4
test_400r_3200c_0.25d_instance_456,0.6,0.26,0.49,0.43
test_400r_3200c_0.25d_instance_460,0.39,0.24,0.37,0.34
test_400r_3200c_0.25d_instance_469,0.33,0.24,0.33,0.32
test_400r_3200c_0.25d_instance_480,0.48,0.29,0.42,0.37
test_400r_3200c_0.25d_instance_52,0.9,0.5,0.88,0.84
test_400r_3200c_0.25d_instance_55,0.3,0.19,0.26,0.28
test_400r_400c_0.01d_instance_105,0.11,0.06,0.06,0.15
test_400r_400c_0.01d_instance_110,0.21,0.06,0.06,0.19
test_400r_400c_0.01d_instance_147,0.03,0.03,0.03,0.03
test_400r_400c_0.01d_instance_197,0.12,0.06,0.1,0.12
test_400r_400c_0.01d_instance_248,0.02,0.02,0.02,0.02
test_400r_400c_0.01d_instance_257,0.1,0.06,0.06,0.12
test_400r_400c_0.01d_instance_332,0.03,0.03,0.03,0.03
test_400r_400c_0.01d_instance_343,0.03,0.03,0.03,0.03
test_400r_400c_0.01d_instance_414,0.11,0.06,0.06,0.14
test_400r_400c_0.01d_instance_428,0.02,0.02,0.02,0.02
test_400r_400c_0.01d_instance_461,0.02,0.02,0.02,0.02
test_400r_400c_0.01d_instance_494,0.13,0.07,0.08,0.13
test_400r_400c_0.01d_instance_85,0.22,0.06,0.06,0.19
test_400r_400c_0.01d_instance_99,0.14,0.07,0.1,0.14
test_400r_400c_0.05d_instance_118,0.59,0.22,0.24,0.5
test_400r_400c_0.05d_instance_135,0.69,0.3,0.77,0.46
test_400r_400c_0.05d_instance_146,0.96,0.28,0.61,0.81
test_400r_400c_0.05d_instance_229,0.84,0.32,0.86,0.71
test_400r_400c_0.05d_instance_257,0.58,0.24,0.6,0.45
test_400r_400c_0.05d_instance_33,0.97,0.38,0.8,0.68
test_400r_400c_0.05d_instance_343,0.79,0.28,0.6,0.61
test_400r_400c_0.05d_instance_350,0.89,0.34,0.71,0.6
test_400r_400c_0.05d_instance_405,1.04,0.4,0.85,0.64
test_400r_400c_0.05d_instance_448,0.74,0.32,0.74,0.6
test_400r_400c_0.05d_instance_451,0.85,0.27,0.61,0.52
test_400r_400c_0.05d_instance_496,0.78,0.25,0.8,0.5
test_400r_400c_0.25d_instance_181,0.26,0.24,0.2,0.29
test_400r_400c_0.25d_instance_218,0.44,0.22,0.4,0.43
test_400r_400c_0.25d_instance_228,0.36,0.25,0.29,0.32
test_400r_400c_0.25d_instance_296,0.51,0.2,0.43,0.47
test_400r_400c_0.25d_instance_304,0.45,0.23,0.31,0.36
test_400r_400c_0.25d_instance_312,0.14,0.16,0.17,0.15
test_400r_400c_0.25d_instance_325,0.57,0.24,0.45,0.52
test_400r_400c_0.25d_instance_333,0.41,0.25,0.35,0.32
test_400r_400c_0.25d_instance_401,0.55,0.26,0.35,0.39
test_400r_400c_0.25d_instance_49,0.35,0.26,0.24,0.38
test_400r_400c_0.25d_instance_5,0.1,0.1,0.09,0.1
test_400r_400c_0.25d_instance_8,0.44,0.21,0.42,0.36
test_400r_400c_0.25d_instance_90,0.42,0.23,0.39,0.37
test_400r_400c_0.25d_instance_93,0.27,0.18,0.29,0.25
test_400r_6400c_0.01d_instance_123,0.03,0.03,0.04,0.03
test_400r_6400c_0.01d_instance_165,0.25,0.07,0.1,0.22
test_400r_6400c_0.01d_instance_217,0.16,0.09,0.1,0.15
test_400r_6400c_0.01d_instance_289,0.14,0.07,0.08,0.14
test_400r_6400c_0.01d_instance_71,0.03,0.03,0.03,0.03
test_400r_6400c_0.01d_instance_78,0.3,0.11,0.2,0.24
test_400r_6400c_0.05d_instance_108,0.69,0.26,0.44,0.49
test_400r_6400c_0.05d_instance_110,1.0,0.41,0.84,0.74
test_400r_6400c_0.05d_instance_122,1.15,0.52,0.92,0.89
test_400r_6400c_0.05d_instance_180,0.37,0.26,0.45,0.36
test_400r_6400c_0.05d_instance_186,0.45,0.42,0.81,0.48
test_400r_6400c_0.05d_instance_204,0.58,0.33,0.51,0.43
test_400r_6400c_0.05d_instance_224,0.79,0.33,0.67,0.62
test_400r_6400c_0.05d_instance_256,1.15,0.44,1.1,0.91
test_400r_6400c_0.05d_instance_297,0.51,0.3,0.61,0.44
test_400r_6400c_0.05d_instance_310,1.5,0.6,1.49,1.26
test_400r_6400c_0.05d_instance_342,1.15,0.4,1.38,0.98
test_400r_6400c_0.05d_instance_374,0.85,0.4,0.86,0.83
