File Name,default,TreeCutLevel-1,RootCutLevel-1,TreeCutLevel-0
test_9692.proto,180.03,100.26,34.49,180.04
test_9720.proto,5.27,2.59,5.13,5.3
test_9730.proto,2.02,4.21,1.99,2.08
test_9731.proto,3.42,3.67,3.16,3.48
test_9788.proto,2.52,2.47,2.42,2.54
test_9857.proto,5.26,12.09,4.47,5.93
test_9943.proto,6.25,1.96,1.93,6.21
test_9948.proto,9.36,10.26,12.0,8.97
training_10004.proto,1.55,1.59,1.58,1.6
training_10005.proto,3.16,4.25,3.05,3.22
training_10014.proto,2.66,1.95,1.62,2.71
training_10093.proto,20.09,14.31,13.97,12.56
training_10107.proto,4.2,3.91,4.49,6.22
training_10110.proto,10.77,5.57,5.59,8.66
training_10124.proto,2.96,2.73,2.93,2.9
training_10160.proto,2.67,2.29,2.11,2.74
training_10163.proto,8.64,7.56,17.29,9.17
training_10187.proto,2.0,2.02,2.09,2.11
training_10229.proto,9.83,6.48,9.03,10.66
training_10286.proto,3.76,3.65,3.22,4.17
training_10301.proto,6.27,3.98,5.47,6.56
training_10302.proto,1.68,3.41,1.45,1.73
training_10328.proto,10.76,5.26,5.9,13.08
training_10342.proto,2.57,2.51,2.33,2.59
training_10346.proto,4.25,4.92,3.69,4.6
training_10384.proto,7.48,2.9,5.79,7.84
training_1040.proto,3.66,3.05,3.65,3.51
training_10407.proto,19.53,17.84,23.29,15.79
training_10415.proto,4.53,2.8,3.93,4.38
training_10427.proto,2.45,3.63,2.21,2.45
training_10428.proto,2.57,2.47,2.52,2.56
training_10429.proto,9.51,7.83,174.02,15.11
training_10439.proto,3.12,2.96,2.6,3.08
training_10442.proto,3.59,7.29,12.46,3.3
training_10468.proto,0.38,0.33,0.38,0.36
training_10493.proto,33.39,19.46,14.79,18.98
training_1052.proto,3.33,7.88,4.25,3.63
training_10536.proto,2.32,2.35,2.29,2.32
training_10544.proto,10.37,16.08,14.23,12.48
training_10547.proto,7.4,9.6,11.05,7.42
training_10557.proto,18.95,18.14,17.71,14.79
training_10575.proto,180.01,180.03,142.55,180.0
training_10576.proto,1.94,2.22,1.93,1.91
training_10605.proto,0.32,0.29,0.34,0.31
training_10631.proto,4.56,3.57,3.11,5.99
training_10641.proto,3.51,3.31,3.86,3.64
training_10720.proto,4.98,4.19,3.24,4.53
training_10768.proto,9.73,7.51,5.13,7.65
training_10777.proto,10.23,20.37,180.02,9.87
training_10783.proto,5.09,5.41,3.88,5.67
training_10806.proto,29.07,101.91,7.32,18.94
training_10846.proto,2.98,3.03,2.34,3.1
training_10879.proto,1.72,1.43,1.42,1.65
training_10906.proto,1.97,1.82,1.99,2.03
training_10916.proto,3.51,3.2,3.46,4.08
training_10917.proto,25.59,180.05,26.64,25.48
training_10930.proto,5.44,5.75,5.43,5.83
training_10934.proto,12.7,6.8,8.35,9.78
training_10969.proto,5.51,5.47,5.96,5.55
training_10980.proto,7.89,6.5,7.45,7.2
training_10993.proto,14.14,30.58,4.02,16.62
training_10995.proto,1.84,1.89,1.81,1.91
training_11004.proto,2.66,3.35,3.58,2.77
training_11011.proto,2.46,2.51,1.87,2.63
training_11043.proto,4.82,4.37,4.05,4.3
training_11058.proto,4.68,4.21,4.07,4.52
training_11100.proto,17.04,16.72,18.24,11.82
training_11114.proto,2.62,3.71,3.0,2.67
training_11136.proto,10.17,16.23,8.12,10.4
training_11142.proto,12.69,10.49,16.15,5.25
training_11185.proto,10.84,7.68,7.13,7.57
training_11210.proto,33.58,29.36,52.32,51.77
training_11224.proto,10.5,4.46,8.48,9.91
training_11278.proto,5.64,5.15,7.83,5.51
training_11290.proto,5.16,3.48,2.67,6.42
training_11297.proto,3.92,3.67,3.19,3.58
training_11315.proto,4.96,3.78,11.75,5.35
training_11323.proto,1.53,1.34,1.75,1.44
training_11334.proto,3.66,5.46,4.55,5.01
training_11338.proto,5.95,7.79,16.26,5.94
training_11363.proto,1.32,1.05,1.05,1.33
training_11368.proto,2.77,3.2,2.83,2.78
training_11369.proto,2.54,2.37,3.46,2.47
training_11379.proto,4.8,4.87,3.12,4.67
training_11394.proto,1.67,1.63,1.51,1.5
training_1140.proto,1.33,1.33,1.4,1.38
training_11404.proto,3.48,3.46,3.31,3.92
training_11421.proto,1.65,2.75,2.0,2.01
training_11472.proto,31.05,46.66,15.2,15.54
training_1151.proto,0.2,0.21,0.24,0.2
training_11524.proto,1.43,1.24,1.98,1.54
training_11527.proto,2.11,3.71,2.07,2.56
training_11530.proto,3.02,3.43,3.88,3.43
training_11531.proto,22.14,11.56,12.53,11.61
training_11556.proto,5.33,1.87,3.06,5.2
training_11619.proto,2.59,2.59,1.52,2.58
training_11620.proto,4.0,4.14,3.29,3.89
training_1163.proto,3.71,3.45,2.15,3.61
training_11651.proto,1.98,1.82,1.85,2.01
training_11653.proto,12.67,6.21,9.06,10.13
training_11654.proto,0.31,0.32,0.32,0.29
training_11678.proto,5.37,3.73,4.87,9.03
training_11710.proto,3.42,3.51,2.64,3.6
training_11738.proto,6.48,3.22,6.22,6.3
training_11752.proto,15.47,180.04,67.9,180.01
training_11766.proto,1.47,1.2,1.23,1.48
training_11781.proto,2.43,3.81,5.27,2.58
training_11784.proto,21.34,13.35,14.16,15.27
training_11785.proto,7.24,6.81,6.96,6.97
training_11848.proto,10.4,3.16,4.51,10.55
training_11851.proto,3.39,5.24,3.07,3.38
training_11859.proto,3.79,4.07,4.5,3.72
training_11863.proto,3.62,3.44,4.47,3.38
training_11871.proto,3.8,3.77,3.72,3.77
training_1188.proto,2.67,1.66,2.85,2.77
training_1195.proto,6.53,5.69,12.05,5.72
training_11999.proto,1.71,2.02,1.88,1.7
training_12019.proto,25.34,30.7,62.29,21.47
training_12051.proto,2.56,2.37,1.94,2.59
training_12078.proto,2.37,2.99,1.97,2.47
training_12092.proto,2.17,3.58,2.35,2.11
training_12117.proto,50.17,40.78,30.79,55.42
training_1212.proto,3.09,4.03,3.24,3.09
training_12121.proto,4.26,6.65,4.22,4.28
training_12126.proto,3.58,4.01,11.78,3.87
training_12152.proto,6.73,5.36,4.44,6.66
training_12200.proto,13.19,15.42,17.58,15.23
training_12209.proto,1.86,1.77,1.82,1.91
training_12211.proto,2.78,2.46,1.48,2.8
training_12213.proto,2.21,3.91,1.92,2.05
training_12226.proto,1.81,1.47,1.7,1.79
training_12242.proto,14.22,5.08,4.42,15.24
training_12260.proto,5.6,4.42,4.57,4.56
training_12281.proto,2.76,2.18,2.08,2.78
training_12287.proto,0.71,0.63,0.66,0.66
training_12296.proto,1.57,1.56,1.47,1.58
training_12310.proto,1.4,2.55,1.47,1.43
training_12324.proto,2.49,2.6,3.19,2.51
training_12329.proto,180.02,21.17,16.14,22.27
training_12351.proto,2.6,3.17,2.47,2.6
training_1237.proto,2.06,1.91,10.68,2.06
training_1240.proto,4.75,2.58,6.87,5.71
training_12406.proto,2.79,3.58,4.48,2.79
training_12412.proto,4.85,8.34,3.93,4.88
training_12475.proto,21.83,11.97,10.92,23.99
training_12508.proto,1.54,1.42,1.49,1.51
training_12523.proto,5.89,4.65,2.99,5.53
training_12533.proto,1.46,2.35,1.21,1.59
training_12545.proto,2.8,2.4,1.89,2.85
training_12558.proto,1.85,1.65,1.68,1.81
training_12571.proto,11.9,11.98,9.48,9.38
training_12583.proto,1.51,1.32,1.47,1.58
training_1260.proto,8.78,4.04,7.08,7.77
training_12602.proto,6.86,6.84,7.1,7.11
training_12609.proto,18.33,18.38,21.79,15.78
training_12625.proto,1.2,1.22,1.25,1.46
training_12636.proto,2.68,4.12,3.38,2.6
training_1264.proto,4.9,5.25,4.12,4.75
training_12642.proto,180.01,180.04,134.4,180.02
training_12660.proto,1.32,1.3,1.18,1.28
training_1269.proto,3.1,2.9,5.13,3.94
training_1272.proto,3.33,3.96,4.0,3.12
training_12725.proto,6.32,6.29,2.65,13.48
training_12747.proto,2.96,2.25,1.41,3.04
training_12754.proto,3.36,4.4,3.2,3.42
training_12767.proto,3.26,1.96,2.88,3.2
training_12792.proto,12.52,14.23,7.49,11.23
training_12796.proto,6.65,3.99,6.27,5.22
training_12804.proto,3.4,3.62,2.92,3.48
training_12809.proto,5.86,5.19,7.21,5.81
training_12821.proto,1.8,3.16,1.72,1.77
training_12824.proto,2.41,1.84,1.9,2.37
training_12826.proto,10.88,6.72,5.06,9.28
training_12833.proto,4.53,5.25,3.38,3.89
