File Name,default,TreeCutLevel1,RootCutLevel1,RoundingHeurLevel1,StrongBranching1,SubmipHeurLevel1,DivingHeurLevel1
rc205.50.20,300.02,300.04,300.04,300.03,300.05,300.05,300.06
rc205.50.25,300.03,300.03,300.06,300.02,300.05,300.02,300.04
rc205.75.10,300.04,300.03,300.05,300.07,300.02,300.04,300.07
rc205.75.15,300.04,300.03,300.06,300.06,300.08,300.13,300.07
rc205.75.20,300.14,300.08,300.08,300.14,300.14,300.07,300.13
rc205.75.25,300.11,300.1,300.03,300.1,300.07,300.06,300.13
rc206.100.10,300.05,300.14,300.08,300.06,300.05,300.14,300.05
rc206.100.15,300.11,300.12,300.11,300.08,300.09,300.11,300.11
rc206.100.20,300.14,300.16,300.1,300.16,300.15,300.16,300.25
rc206.100.25,300.32,300.16,300.22,300.32,300.27,300.26,300.16
rc206.25.3,1.93,2.01,3.63,1.82,1.91,2.09,2.11
rc206.25.5,2.41,1.64,2.12,2.4,2.37,1.83,2.3
rc206.30.10,3.04,2.86,3.51,3.0,3.08,2.77,2.95
rc206.30.15,4.65,4.27,4.96,4.67,4.58,4.18,4.87
rc206.30.20,6.83,6.77,11.22,6.62,6.71,5.61,6.59
rc206.30.25,4.79,4.71,4.6,4.67,4.82,5.44,4.81
rc206.30.3,0.37,0.4,0.39,0.39,0.36,0.37,0.4
rc206.30.5,2.5,3.92,3.78,2.53,2.39,2.12,2.68
rc206.40.3,0.43,0.44,0.47,0.44,0.42,0.41,0.42
rc206.40.5,235.24,120.59,300.01,228.03,145.78,44.72,221.12
rc206.50.10,300.04,300.01,300.03,300.02,300.06,300.06,300.04
rc206.50.15,300.02,300.02,300.01,300.02,300.03,300.04,300.01
rc206.50.20,300.04,300.02,300.05,300.02,300.06,300.04,300.02
rc206.50.25,300.04,300.04,300.03,300.03,300.03,300.03,300.05
rc206.75.10,300.08,300.01,300.09,300.04,300.06,300.05,300.04
rc206.75.15,300.06,300.03,300.11,300.07,300.07,300.03,300.15
rc206.75.20,300.14,300.07,300.09,300.08,300.08,300.08,300.09
rc206.75.25,300.14,300.13,300.11,300.1,300.07,300.04,300.11
rc207.100.10,300.08,300.16,300.07,300.07,300.09,300.13,300.16
rc207.100.15,300.09,300.02,300.11,300.14,300.22,300.16,300.11
rc207.100.20,300.11,300.17,300.14,300.34,300.1,300.14,300.16
rc207.100.25,300.22,300.18,300.14,300.29,300.2,300.23,300.19
rc207.25.3,3.29,3.0,7.39,3.32,3.35,2.21,2.99
rc207.25.5,10.62,5.58,11.44,10.71,9.92,4.44,12.42
rc207.30.10,10.13,8.86,300.01,10.03,10.14,11.91,10.23
rc207.30.15,179.73,167.21,300.01,183.83,67.52,300.02,300.01
rc207.30.20,14.86,11.63,12.98,14.57,13.51,12.18,13.37
rc207.30.25,5.26,9.17,5.72,5.26,5.14,4.91,5.33
rc207.30.3,0.38,0.37,0.38,0.38,0.4,0.37,0.38
rc207.30.5,32.65,22.09,300.01,32.47,65.42,8.92,40.46
rc207.40.3,0.31,0.36,0.35,0.36,0.36,0.3,0.35
