File Name,default,SubMipHeurLevel-1,StrongBranching-0,StrongBranching-1
load_balancing_1441,830.79,737.56,613.67,872.87
load_balancing_1444,3600.03,2945.94,2911.26,3600.03
load_balancing_1445,1559.65,2359.51,1367.69,2116.55
load_balancing_1446,1833.19,1890.3,1493.44,1689.57
load_balancing_1447,1171.02,3600.02,3600.02,3393.54
load_balancing_1448,2120.25,1952.8,1930.35,2067.9
load_balancing_1449,3600.02,3600.02,2992.53,3600.04
load_balancing_145,248.79,258.49,338.99,218.96
load_balancing_1451,3525.01,2948.56,3025.49,3600.03
load_balancing_1452,514.44,542.17,554.66,522.77
load_balancing_1453,225.2,162.0,283.33,154.06
load_balancing_1454,3108.97,3208.37,3064.39,2877.98
load_balancing_1455,538.7,706.9,736.05,494.15
load_balancing_1456,1766.76,1518.75,1522.97,2248.79
load_balancing_1457,2189.52,3396.66,2061.92,3203.74
load_balancing_1458,596.51,500.63,440.14,485.37
load_balancing_1459,469.69,438.53,430.23,473.57
load_balancing_146,2961.54,3600.05,3244.12,3600.03
load_balancing_1460,1226.63,901.94,1055.22,1037.47
load_balancing_1461,366.13,519.51,456.92,425.33
load_balancing_1462,1195.77,1882.93,860.46,1927.9
load_balancing_1463,1020.16,862.1,820.83,1075.32
load_balancing_1464,3600.03,3377.59,3239.27,3498.76
load_balancing_1467,2625.52,2630.82,2032.58,2355.37
load_balancing_1469,1079.29,959.86,701.12,1042.97
load_balancing_1470,2243.52,2339.52,2065.06,2548.78
load_balancing_1471,1910.21,2141.63,2017.01,2211.67
load_balancing_1473,2077.14,2295.88,1932.67,1895.4
load_balancing_1474,3600.02,3600.04,3600.02,3282.3
load_balancing_1475,800.43,731.44,610.48,647.18
load_balancing_1477,3492.63,3512.81,3378.7,3600.02
load_balancing_1478,521.55,706.66,539.0,489.25
load_balancing_1479,3557.87,3600.03,3600.03,3200.83
load_balancing_1480,616.59,450.32,414.67,761.32
load_balancing_1482,882.97,884.93,804.2,649.8
load_balancing_1483,527.17,488.47,466.11,504.99
