File Name,default,TreeCutLevel-1,RootCutLevel-1,StrongBranching-1
test_600_4_instance_399,1.42,1.36,1.44,1.3
test_600_4_instance_451,3.35,2.84,2.69,3.28
test_600_4_instance_46,0.57,0.53,0.53,0.54
test_600_4_instance_461,1.08,1.11,0.99,1.09
test_600_4_instance_469,0.96,1.26,0.96,1.03
test_600_4_instance_47,0.54,0.44,0.35,0.44
test_600_4_instance_5,0.41,0.4,0.48,0.42
test_600_4_instance_508,2.24,1.32,1.39,2.22
test_600_4_instance_537,0.18,0.21,0.19,0.19
test_600_4_instance_54,0.42,0.36,0.4,0.4
test_600_4_instance_61,0.49,0.55,0.47,0.54
test_600_4_instance_62,0.67,0.85,0.67,0.69
test_600_4_instance_638,0.4,0.6,0.38,0.44
test_600_4_instance_697,0.66,0.49,0.64,0.61
test_600_4_instance_723,1.09,1.28,1.28,1.18
test_600_4_instance_76,1.53,1.22,1.16,1.24
test_600_4_instance_89,0.34,0.39,0.33,0.4
test_600_4_instance_902,0.52,0.61,0.54,0.52
test_600_4_instance_925,0.72,0.81,0.61,0.74
train_1200_2_instance_1199,0.0,0.0,0.0,0.0
train_1200_2_instance_1357,0.0,0.0,0.0,0.0
train_1200_2_instance_2099,0.01,0.01,0.01,0.01
train_1200_2_instance_2118,0.01,0.01,0.01,0.01
train_1200_2_instance_214,0.01,0.01,0.01,0.01
train_1200_2_instance_2868,0.0,0.0,0.0,0.0
train_1200_2_instance_3886,0.01,0.01,0.01,0.01
train_1200_2_instance_747,0.0,0.0,0.0,0.0
train_1200_2_instance_863,0.0,0.0,0.0,0.0
train_1200_4_instance_1019,14.65,16.19,15.35,16.32
train_1200_4_instance_1178,16.73,17.76,13.71,16.17
train_1200_4_instance_119,3.36,4.82,4.55,3.61
train_1200_4_instance_1243,8.56,9.85,6.49,8.37
train_1200_4_instance_1313,15.76,21.41,26.38,16.05
train_1200_4_instance_1319,2.28,3.06,2.2,2.32
train_1200_4_instance_1348,25.26,22.84,21.95,22.85
train_1200_4_instance_1435,6.28,6.6,6.65,7.42
train_1200_4_instance_1460,34.12,26.33,28.96,33.77
train_1200_4_instance_1475,7.16,9.18,9.22,7.42
train_1200_4_instance_1485,8.03,9.26,9.35,8.28
train_1200_4_instance_1579,4.38,4.81,6.0,4.44
train_1200_4_instance_1718,8.37,7.65,8.77,9.0
